Name,address1,city,zip,country,latitude,longitude,price_level,provider_rating,provider_review_count,review_stats_all_average_score,review_stats_all_count,review_stats_all_total_score,review_stats_community_average_score,review_stats_community_count,review_stats_community_total_score,review_stats_critic_average_score,review_stats_critic_count,review_stats_critic_total_score,review_stats_dave_average_score,review_stats_dave_count,review_stats_dave_total_score
99 Cent Fresh Pizza,473 Lexington Ave,New York,10017,US,40.7536996,-73.9741132,1,4,118,5.666666667,9,51,5.7625,8,46.1,0,0,0,4.9,1,4.9
Nino's 46,39 W 46th St,New York,10036,US,40.7569012,-73.980518,2,4,1055,5.6,2,11.2,0,0,0,4.3,1,4.3,6.9,1,6.9
La Pizza Fresca Ristorante,31 E 20th St,New York,10003,US,40.739047,-73.988895,2,3,143,7.1,1,7.1,0,0,0,0,0,0,7.1,1,7.1
La Gusto Pizza,382 8th Ave,New York,10001,US,NA,NA,1,3.5,28,4.075,4,16.3,4.366666667,3,13.1,0,0,0,3.2,1,3.2
Cheesy Pizza,2640 Broadway,New York,10025,US,40.7971889,-73.9695729,1,3,95,6.12,5,30.6,6.125,4,24.5,0,0,0,6.1,1,6.1
Sal &amp; Carmine's Pizza,2671 Broadway,New York,10025,US,40.7983829,-73.969439,1,4,324,7.435294118,17,126.4,7.45,16,119.2,0,0,0,7.2,1,7.2
MAMA'S TOO!,2750 Broadway,New York,10025,US,40.8008324,-73.9675901,2,3.5,186,7.314285714,14,102.4,7.353846154,13,95.6,0,0,0,6.8,1,6.8
Bond 45,221 W 46th St,New York,10036,US,40.7593741,-73.9861745,2,3.5,600,6.6,6,39.6,6.725,4,26.9,6.2,1,6.2,6.5,1,6.5
Patsy's Pizzeria,2287 1st Ave,New York,10035,US,40.7971469,-73.934857,2,4,759,8.448648649,37,312.6,8.444444444,36,304,0,0,0,8.6,1,8.6
LA Traviata Pizzeria,101 W 68th St,New York,10023,US,40.7750717,-73.980868,1,3.5,157,5.725,4,22.9,6.25,2,12.5,5,1,5,5.4,1,5.4
Percy's Pizza,190 Bleecker St,New York,10012,US,40.7290373,-74.0015817,1,4,211,5.933333333,6,35.6,6.375,4,25.5,4,1,4,6.1,1,6.1
Little Italy Pizza,55 W 45th St,New York,10036,US,40.7564841,-73.9814704,1,4,433,5.807692308,13,75.5,5.941666667,12,71.3,0,0,0,4.2,1,4.2
Re Sette,7 W 45th St,New York,10036,US,40.7559546,-73.9800255,3,3.5,319,7.5,2,15,0,0,0,7.9,1,7.9,7.1,1,7.1
B &amp; W Deli &amp; Pizzeria,373 W 34th St,New York,10001,US,40.7534553,-73.996024,1,3,30,5.6,4,22.4,5.4,3,16.2,0,0,0,6.2,1,6.2
Mediterraneo Restaurant,1260 2nd Ave,New York,10065,US,40.7650144,-73.9608725,2,3,265,5.133333333,3,15.4,3,1,3,6.6,1,6.6,5.8,1,5.8
La Bellezza Pizza,315 Broadway,New York,10007,US,40.7157456,-74.0053843,2,3.5,13,7.3,4,29.2,7.366666667,3,22.1,0,0,0,7.1,1,7.1
Tre Sorelle,61 Reade St,New York,10007,US,40.714805,-74.006577,2,3.5,136,6.9,4,27.6,7.45,2,14.9,6,1,6,6.7,1,6.7
Rubby's Pizzeria,57th St &amp; 10th Ave,New York,10019,US,40.767267,-73.9841435,1,3.5,13,1.2,1,1.2,0,0,0,0,0,0,1.2,1,1.2
Justino's Pizzeria,881 10th Ave,New York,10019,US,40.7695645,-73.9886224,1,3.5,197,4.92,5,24.6,5.3,4,21.2,0,0,0,3.4,1,3.4
Casabianca Pizzeria,503 W 57th St,New York,10019,US,40.7694782,-73.9888845,1,3,48,7.122222222,9,64.1,7.1625,8,57.3,0,0,0,6.8,1,6.8
Sottosuolo NYC,122 E 27th St,New York,10016,US,40.7421252,-73.9836267,2,4,37,6.3,1,6.3,0,0,0,0,0,0,6.3,1,6.3
Mariella Pizza,965 Lexington Ave,New York,10021,US,40.7691562,-73.9628311,1,3.5,101,6.883333333,6,41.3,6.88,5,34.4,0,0,0,6.9,1,6.9
Bella Blu,967 Lexington Ave,New York,10021,US,40.7692221,-73.9628197,3,3.5,212,7.8,2,15.6,8.4,1,8.4,0,0,0,7.2,1,7.2
John &amp; Tony's,1097 1st Ave,New York,10065,US,40.7604259,-73.9616128,1,3,86,6.433333333,3,19.3,6.3,2,12.6,0,0,0,6.7,1,6.7
Il Forno Pizza,343 2nd Ave,New York,10003,US,40.736006,-73.9825421,1,3,49,6.266666667,3,18.8,6.25,2,12.5,0,0,0,6.3,1,6.3
Scarr's Pizza,22 Orchard St,New York,10002,US,40.7153411,-73.991428,1,4,210,7.915789474,19,150.4,7.927777778,18,142.7,0,0,0,7.7,1,7.7
